"country_code","city_name","geonameid"
"AD","Andorra la Vella","3041563"
"AD","Santa Coloma","3039181"
"AD","Canillo","3041204"
"AD","El Tarter","3039154"
"AD","Soldeu","3038999"
"AD","Encamp","3040686"
"AD","Les Bons","3040067"
"AD","Pas de la Casa","3039604"
"AD","Les Escaldes","3040051"
"AD","Sispony","3039077"
"AD","Xixerella","3038816"
"AD","Anyos","3041543"
"AD","Arinsal","3041519"
"AD","Erts","3040609"
"AD","La Massana","3040132"
"AD","El Serrat","3040737"
"AD","Ordino","3039678"
"AD","Aixirivall","3041604"
"AD","Fontaneda","3040437"
"AD","Sant Julia de Loria","3039163"
"AE","'Ajman","292933"
"AE","Abu Dhabi","292968"
"AE","Al Ain","0"
"AE","Ar Ruways","292688"
"AE","Muzayri'","0"
"AE","Al Fujayrah","292878"
"AE","Sharjah","292672"
"AE","Adh Dhayd","292953"
"AE","Diba","292239"
"AE","Khawr Fakkan","291696"
"AE","Dubai","292223"
"AE","Ras Al Khaimah","0"
"AE","Umm Al Quwain","0"
"AF","Baghlan","1476097"
"AF","Pul-e Khumri","1130490"
"AF","Balkh","1147290"
"AF","Mazar-e Sharif","1133616"
"AF","Bamyan","1147242"
"AF","Cool urhajo","0"
"AF","Anar Darah","1148709"
"AF","Farah","1142264"
"AF","Maymana","1133453"
"AF","Ghazni","1141269"
"AF","Shahrak","1125896"
"AF","Lashkar Gah","1134720"
"AF","Hukumat-e Nad 'Ali","1132550"
"AF","Herat","1140026"
"AF","Kafir Qala","1142404"
"AF","Shibirghan","1125444"
"AF","Kabul","1138958"
"AF","Mir Bachah Kot","1133270"
"AF","Paghman","1131316"
"AF","Kandahar","1138336"
"AF","Khost","1136469"
"AF","Imam Sahib","1142545"
"AF","Kunduz","1135689"
"AF","Mehtar Lam","1133574"
"AF","Baraki Barak","1147066"
"AF","Jalalabad","1139715"
"AF","Zaranj","1120985"
"AF","Zarghun Shahr","1120863"
"AF","Gardez","1141857"
"AF","Charikar","1145352"
"AF","Taloqan","1123004"
"AF","Tarinkot","1122747"
"AF","Uruzgan","1131462"
"AG","Redonda","10344575"
"AG","Osbourn","3576080"
"AG","Paynters","3576069"
"AG","The Grove","3575965"
"AG","Cassada Gardens","3576341"
"AG","New Winthorpes","3576094"
"AG","All Saints","3576397"
"AG","Saint John's","3576022"
"AG","Bolands","0"
"AG","Liberta","3576144"
"AG","Vernons","3575952"
"AG","Parham","3576074"
"AG","Freetown","3576236"
"AG","Gaynors","3576227"
"AG","Jennings","3576160"
"AI","The Valley","3573374"
"AL","Ura Vajgurore","3183814"
"AL","Berat","3186084"
"AL","Kucove","3185060"
"AL","Polican","781979"
"AL","Bulqize","783508"
"AL","Burrel","783493"
"AL","Peshkopi","782061"
"AL","Durres","3185728"
"AL","Fushe-Kruje","3185638"
"AL","Shijak","3184099"
"AL","Elbasan","783263"
"AL","Gramsh","783059"
"AL","Librazhd-Qender","832209"
"AL","Perrenjas-Fshat","781919"
"AL","Cerrik","3185897"
"AL","Fier","3185672"
"AL","Lushnje","3184862"
"AL","Patos Fshat","3184517"
"AL","Roskovec","3184290"
"AL","Gjirokaster","783148"
"AL","Libohove","782523"
"AL","Permet","782070"
"AL","Tepelene","781443"
"AL","Bilisht","783606"
"AL","Korce","782756"
"AL","Maliq","782393"
"AL","Kukes","782661"
"AL","Kurbnesh","782632"
"AL","Lac","3185012"
"AL","Lezhe","3184935"
"AL","Milot","3184702"
"AL","Koplik","3185133"
"AL","Shkoder","3184081"
"AL","Tirana","3183875"
"AL","Vore","3183708"
"AL","Kavaje","3185211"
"AL","Rrogozhine","3184252"
"AL","Delvine","363383"
"AL","Himare","3185377"
"AL","Konispol","363320"
"AL","Orikum","3184575"
"AL","Sarande","363243"
"AL","Vlore","3183719"
"AM","Aghavnatun","617002"
"AM","Kosh","616523"
"AM","Aparan","616953"
"AM","Norakert","616358"
"AM","Ashnak","616879"
"AM","T'alin","616187"
"AM","Ashtarak","616877"
"AM","Aygeshat","616850"
"AM","Byurakan","616791"
"AM","Doghs","616748"
"AM","Hnaberd","616535"
"AM","Aygepat","174965"
"AM","Shahumyan","174775"
"AM","Bardzrashen","0"
"AM","Vedi","174725"
"AM","Dimitrov","866135"
"AM","Vostan","174713"
"AM","Aralez","0"
"AM","Geghanist","616681"
"AM","Ararat","174991"
"AM","Goravan","0"
"AM","Argavand","616913"
"AM","Marmarashen","616441"
"AM","Artashat","11056206"
"AM","Masis","823816"
"AM","Avshar","174969"
"AM","Noyakert","174805"
"AM","Lukashin","616464"
"AM","Merdzavan","0"
"AM","Metsamor","823807"
"AM","Apaga","616954"
"AM","Mrgashat","616400"
"AM","Arbat'","616932"
"AM","Nalbandyan","616385"
"AM","Armavir","616631"
"AM","Sardarapat","0"
"AM","Baghramyan","823809"
"AM","Shenavan","616231"
"AM","Dalarik","616769"
"AM","Vagharshapat","0"
"AM","Yerevan","616052"
"AM","Martuni","10654504"
"AM","Verin Getashen","616094"
"AM","Chambarak","616786"
"AM","Mets Masrik","616411"
"AM","Zovaber","174712"
"AM","Dzoragyugh","616714"
"AM","Nerk'in Getashen","616375"
"AM","Gagarin","616699"
"AM","Sarukhan","11335548"
"AM","Gavarr","616599"
"AM","Sevan","616250"
"AM","Karanlukh","616576"
"AM","Tsovinar","616136"
"AM","Karchaghbyur","616572"
"AM","Vaghashen","616119"
"AM","Lichk'","174832"
"AM","Vardenis","10932735"
"AM","Prroshyan","616291"
"AM","Tsaghkadzor","616160"
"AM","Abovyan","617026"
"AM","Bjni","616789"
"AM","Byureghavan","616790"
"AM","Garrni","616697"
"AM","Hrazdan","616629"
"AM","Meghradzor","616424"
"AM","Margahovit","616445"
"AM","Metsavan","616416"
"AM","Alaverdi","616974"
"AM","Norashen","616345"
"AM","Arevashogh","616920"
"AM","Tashir","616178"
"AM","Darpas","11319536"
"AM","Urrut","11364544"
"AM","Dsegh","616742"
"AM","Vanadzor","616530"
"AM","Gugark'","616648"
"AM","Verin Akhtala","616101"
"AM","Gyulagarak","616639"
"AM","Amasia","616971"
"AM","Pemzashen","616303"
"AM","Anushavan","616955"
"AM","Shirak","616224"
"AM","Arevik","616917"
"AM","Spandaryan","616202"
"AM","Azatan","616835"
"AM","Gyumri","616635"
"AM","Lerrnakert","616481"
"AM","Maralik","616446"
"AM","Akhuryan","616989"
"AM","Mayisyan","616453"
"AM","Khndzoresk","174849"
"AM","Meghri","174823"
"AM","Tegh","174743"
"AM","Agarak","175008"
"AM","Brrnakot'","174942"
"AM","Dzorastan","174918"
"AM","Goris","174895"
"AM","Kapan","174875"
"AM","Noyemberyan","616333"
"AM","Azatamut","823748"
"AM","Bagratashen","616828"
"AM","Berd","616802"
"AM","Dilijan","616752"
"AM","Ijevan","616627"
"AM","Aghavnadzor","175002"
"AM","Getap'","174907"
"AM","Jermuk","174884"
"AM","Vayk'","174726"
"AM","Yeghegnadzor","174710"
"AO","Caxito","2242001"
"AO","Catumbela","3350246"
"AO","Lobito","3347939"
"AO","Benguela","3351663"
"AO","Camacupa","3351014"
"AO","Catabola","3350372"
"AO","Kuito","876325"
"AO","Cabinda","2243271"
"AO","Ondjiva","3346821"
"AO","Huambo","3348313"
"AO","Caala","3351500"
"AO","Caluquembe","3351024"
"AO","Lubango","3347762"
"AO","Menongue","3347353"
"AO","Camabatela","2242885"
"AO","N'dalatando","2239076"
"AO","Quibala","8537102"
"AO","Sumbe","3346015"
"AO","Luanda","2240449"
"AO","Lucapa","145724"
"AO","Saurimo","8536435"
"AO","Malanje","2239862"
"AO","Luau","876177"
"AO","Luena","3347719"
"AO","Namibe","3347019"
"AO","Uige","2236568"
"AO","Soio","2236967"
"AR","Coronel Suarez","3860164"
"AR","Lujan","3430988"
"AR","Pinamar","3429971"
"AR","Tandil","3427833"
"AR","Avellaneda","7535637"
"AR","Dolores","3435038"
"AR","Mar del Plata","3430863"
"AR","Punta Alta","3839982"
"AR","Tres Arroyos","3833859"
"AR","Azul","3436199"
"AR","Florentino Ameghino","3865888"
"AR","Mercedes","3430708"
"AR","Quilmes","3429652"
"AR","Tres Lomas","3833773"
"AR","Bahia Blanca","3865086"
"AR","Hurlingham","3433522"
"AR","Monte Hermoso","3843844"
"AR","Ramos Mejia","3429617"
"AR","Veinticinco de Mayo","3833112"
"AR","Campana","3435810"
"AR","Ituzaingo","3433359"
"AR","Necochea","3430443"
"AR","San Clemente del Tuyu","3429160"
"AR","Villa Gesell","3427431"
"AR","Castelar","3435607"
"AR","Junin","3853354"
"AR","Nueve de Julio","3842881"
"AR","San Isidro","3428992"
"AR","Zarate","3427213"
"AR","Chacabuco","3861953"
"AR","La Plata","3432043"
"AR","Olavarria","3842670"
"AR","San Justo","3428775"
"AR","Chivilcoy","3861344"
"AR","Lincoln","3846864"
"AR","Pergamino","3841490"
"AR","San Nicolas de los Arroyos","3836846"
"AR","Hualfin","3854102"
"AR","Recreo","3839263"
"AR","Huillapima","3853981"
"AR","San Antonio","3838058"
"AR","Icano","3853935"
"AR","San Fernando del Valle de Catamarca","3837702"
"AR","La Puerta de San Jose","3849196"
"AR","Tinogasta","3834361"
"AR","Los Altos","3846514"
"AR","Mutquin","3843504"
"AR","Andalgala","3865802"
"AR","Poman","3840809"
"AR","Fiambala","3855588"
"AR","Puerta de Corral Quemado","3840159"
"AR","Castelli","3862320"
"AR","Fontana","3433901"
"AR","Laguna Limpia","3432466"
"AR","Presidencia Roque Saenz Pena","3840300"
"AR","Taco Pozo","3834843"
"AR","Charadai","3435453"
"AR","Gancedo","3855237"
"AR","Las Brenas","3848687"
"AR","Presidencia de la Plaza","3429866"
"AR","Tres Isletas","3833794"
"AR","Charata","3861678"
"AR","General Jose de San Martin","3433803"
"AR","Las Garcitas","3431777"
"AR","Puerto Tirol","3429721"
"AR","Villa Angela","3832811"
"AR","Chorotis","3861297"
"AR","General Pinedo","3855074"
"AR","Los Frentones","3846175"
"AR","Quitilipi","3839490"
"AR","Villa Berthet","3832797"
"AR","Avia Terai","3865186"
"AR","Colonias Unidas","3435295"
"AR","General Vedia","3433773"
"AR","Machagai","3845330"
"AR","Resistencia","3429577"
"AR","Barranqueras","3436124"
"AR","Concepcion del Bermejo","3860419"
"AR","Hermoso Campo","3854336"
"AR","Makalle","3430943"
